Rank,Opposition.Rank,Location,Losses,Draws,Wins,Games,pi_Loss,pi_Draw,pi_Win,Strata
10,11,1,6,3,10,19,0.3157894736842105,0.15789473684210525,0.5263157894736842,"(6,20]"
10,12,0,9,6,4,19,0.47368421052631576,0.3157894736842105,0.21052631578947367,"(6,20]"
10,12,1,3,5,11,19,0.15789473684210525,0.2631578947368421,0.5789473684210527,"(6,20]"
10,13,0,7,5,7,19,0.3684210526315789,0.2631578947368421,0.3684210526315789,"(6,20]"
10,13,1,3,5,11,19,0.15789473684210525,0.2631578947368421,0.5789473684210527,"(6,20]"
10,14,0,7,7,5,19,0.3684210526315789,0.3684210526315789,0.2631578947368421,"(6,20]"
10,14,1,6,4,9,19,0.3157894736842105,0.21052631578947367,0.47368421052631576,"(6,20]"
10,15,0,6,3,10,19,0.3157894736842105,0.15789473684210525,0.5263157894736842,"(6,20]"
10,15,1,3,4,12,19,0.15789473684210525,0.21052631578947367,0.631578947368421,"(6,20]"
10,16,0,8,7,4,19,0.42105263157894735,0.3684210526315789,0.21052631578947367,"(6,20]"
10,16,1,5,7,7,19,0.2631578947368421,0.3684210526315789,0.3684210526315789,"(6,20]"
10,17,0,8,5,6,19,0.42105263157894735,0.2631578947368421,0.3157894736842105,"(6,20]"
10,17,1,2,8,9,19,0.10526315789473684,0.42105263157894735,0.47368421052631576,"(6,20]"
